,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
175,1,4,3.66,Patuakhali  Science and technology university (PSTU),2,2,3,2,2,2,2,3,2,1,1,2,2,2,1,1,0,3,Job Environment,"Software Development,Cyber Security,ML/AI Engineer,Abroad"
176,0,4,3.21,Rajshahi University of Engineering & Technology (RUET),2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,0,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching,Business"
177,0,4,3.66,Patuakhali  Science and technology university (PSTU),2,2,2,1,2,2,2,1,3,2,1,1,1,1,1,1,0,3,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Researcher,Abroad"
178,1,3,3.3244034707158354,Patuakhali  Science and technology university (PSTU),2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,0,2,"Social Acceptance,Job Security","Teaching,BCS,Govt Job"
179,1,4,3.8,Hajee Mohammad Danesh Science & Technology University (HMDSTU),3,2,3,3,2,2,2,1,1,2,2,2,2,1,1,1,1,4,"Social Acceptance,Job Security","Teaching,Bank Job"
180,0,4,3.13,Hajee Mohammad Danesh Science & Technology University (HMDSTU),2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,Other Factor,"Software Development,Other"
181,1,4,3.61,University of Chittagong (CU),3,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Social Acceptance,"Bank Job,Govt Job"
182,0,2,3.65,Hajee Mohammad Danesh Science & Technology University (HMDSTU),1,2,3,2,2,2,2,2,2,1,1,3,1,1,1,1,0,3,"Social Acceptance,Job Environment,Salary",Software Development
183,1,4,3.21,Hajee Mohammad Danesh Science & Technology University (HMDSTU),3,3,3,2,2,3,2,3,3,2,1,2,1,2,1,1,0,5,"Job Environment,Salary","Software Development,Data Analysis"
184,0,3,3.54,Hajee Mohammad Danesh Science & Technology University (HMDSTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Factor,Other
185,0,3,3.5,"Independent University, Bangladesh (IUB)",1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Management,Business"
186,0,4,1.75,"Independent University, Bangladesh (IUB)",2,2,3,2,2,2,1,1,2,1,1,1,1,1,1,1,0,0,"Salary,Job Environment",Software Development
187,0,3,3.37,University of Chittagong (CU),2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1,"Social Acceptance,Job Security,flaxible Work Life Balanced","Management,Bank Job,BCS,Govt Job"
188,1,4,3.92,"Independent University, Bangladesh (IUB)",2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,"Job Environment,flaxible Work Life Balanced","Cyber Security,Abroad"
189,0,4,3.43,"Independent University, Bangladesh (IUB)",1,1,2,1,1,2,2,1,1,1,1,3,2,1,2,1,0,1,Salary,Networking
190,0,4,3.72,"Independent University, Bangladesh (IUB)",3,3,3,3,2,2,3,3,2,2,2,1,1,3,1,3,2,4,"Job Environment,Salary","Data Analysis,ML/AI Engineer,Abroad"
191,0,4,3.67,"Independent University, Bangladesh (IUB)",2,3,3,2,2,3,2,1,2,1,1,1,1,1,1,3,0,0,"Salary,Job Environment",Software Development
192,1,4,3.3,University of Rajshahi (RU),2,3,3,2,2,3,2,1,3,1,1,1,1,1,1,1,0,1,Salary,Software Development
193,0,4,3.43,University of Rajshahi (RU),2,2,2,2,2,2,3,2,3,2,3,3,2,2,1,2,0,5,Salary,Software Development
194,1,4,3.49,University of Rajshahi (RU),3,3,2,2,2,3,3,2,3,2,3,3,2,2,0,1,0,5,"Job Environment,Salary","Software Development,Cyber Security,Business"
195,1,2,2.83,Jahangirnagar University (JU),2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,"Job Security,Job Environment,flaxible Work Life Balanced","Cyber Security,Business,Abroad"
196,0,2,2.98,"Independent University, Bangladesh (IUB)",2,2,3,2,1,2,1,2,1,1,1,1,2,2,0,2,1,1,"Job Security,Job Environment","Software Development,Cyber Security,Data Analysis,Management"
197,0,3,3.2,University of Rajshahi (RU),2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,"Social Acceptance,Job Security","Software Development,Networking,Cyber Security,Data Analysis"
198,0,4,3.16,University of Rajshahi (RU),1,2,1,1,2,2,1,3,1,1,2,2,2,1,1,2,1,1,"Social Acceptance,Job Security","Software Development,Cyber Security,Data Analysis"
199,0,4,2.92,Jahangirnagar University (JU),2,2,2,3,2,2,2,2,2,1,2,1,1,1,1,3,2,2,Social Acceptance,Software Development
