,cgpa,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Job Environment,Job Security,Other Factor,Salary,Social Acceptance,flaxible Work Life Balanced,,Abroad,BCS,Bank Job,Business,Cyber Security,Data Analysis,Database Administration,Govt Job,ML/AI Engineer,Management,Networking,Other,Researcher,Software Development,Teaching
82,3.2742857142857145,2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,3.2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,3.15,3,3,3,1,2,3,3,1,2,2,3,2,2,2,2,2,0,4,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
85,3.0,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
86,3.91,2,2,3,2,2,2,2,2,3,2,2,1,2,3,2,3,0,4,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
87,3.63,1,2,3,2,2,2,2,2,3,2,2,2,2,1,1,1,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,3.16,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
89,3.67,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,3.15,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
91,3.41,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,2,0,7,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
92,3.52,2,2,3,3,2,2,2,2,1,3,2,3,2,2,2,2,1,2,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
93,3.54,2,1,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
94,3.32,2,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,3.7,3,3,2,2,2,2,2,1,1,2,2,1,1,1,1,1,0,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,3.69,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
98,3.0,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,3.62,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,2.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,3.25,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
102,3.48,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,3.0,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,3.81,2,1,2,2,2,1,1,2,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,3.25,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,1,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
106,3.3,1,1,3,3,2,2,3,2,2,3,3,3,2,1,1,2,0,4,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
107,3.51,1,1,1,2,2,2,1,1,1,2,2,2,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,3.48,2,1,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,3.48,2,2,3,3,2,3,3,2,1,3,3,3,1,2,1,1,0,3,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0
